image_id,image_path,category,category_bn,question,question_bn,llm_answer,llm_answer_bn
311,bc25cbb7f8be8d3434c3defa37e09d3629675571_5-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present?,কোনো অস্বাভাবিকতা কি বিদ্যমান?,Yes,হ্যাঁ
284,2bb03ff7cd7aebe161017fff851d4f6fe07d1e13_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,Yes,হ্যাঁ
1063,02d73f40913bf635205c02b85bbc9da630652fa0_4-Figure6-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনও অস্বাভাবিকতা আছে কি?,yes,হ্যাঁ
227,aa7fedd17e5c529645280bae83a1fe3db0754660_2-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ইমেজটিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
239,6cca784f9aa7b78ff0b3e13cbe668c968939f24c_3-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোনো অস্বাভাবিকতা আছে কি?,yes,হ্যাঁ
860,45b1b213de87ad3881410c37d2846cfb762319a3_3-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there an abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
1031,fcdded2832dc91a595e9591e88593e20fb74af9e_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there an abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
175,e743158be738a9a8b7c401616985cd847c517abd_4-Figure2-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
1364,01c0d7f5d19413c1c189e4b5672155dce5d619a8_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Are there any abnormalities present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,no,না
80,524cda5b44c48968eb0d1f83d931818fda154787_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোন অস্বাভাবিকতা আছে কি?,yes,হ্যাঁ।
648,5fde973394934d253b3f701b8bc30a328a080c27_3-Figure4-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present?,কোনো অস্বাভাবিকতা কি আছে?,Yes,হ্যাঁ
187,5e7a28eba602854ae348dac7edfd9a85a4036d7f_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কোন অস্বাভাবিকতা আছে কি?,no,না
994,42e8604e6d27d4b795ba37498cec18c9c5f49814_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there any abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
1337,35c52cb250d66eab6a533bc2aa95fe02d64119cf_2-Figure1-1.png,abnormality,অস্বাভাবিকতা,Is there an abnormality present in the image?,ছবিতে কি কোনো অস্বাভাবিকতা আছে?,Yes,হ্যাঁ
